"paper_ID","fulltext_screening","fulltext_notes","variable_note","authors","year_publication","population_location","Observation_ID","experiment_ID","group_ID","repeated_trait_ID","bird_species","treatment_plant_species","control_plant_species","comparision_type","CH","PCH","Hypothesis","measure_central_tendency_experiment","type_measure_central_tendency_experiment","measure_dispersion_experiment","type_measure_dispersion_experiment","n_experiment","measure_central_tendency_control","type_measure_central_tendency_control","measure_dispersion_control","type_measure_dispersion_control","n_control","fitness_proxy","trait_type","proxy_decision","proxy_comment","proxies_sign","statistics_type","test_statistics_type","statistics_value","p_value","sign_relationship","total_sample_size","DF","data_location","parasite_type","time_of_gnm_addition","extractor_ID","extractor_comments","data_checker_ID","data_checker_comments","blinding","random_assignment","missing_data","shared_experiment","shared_control","fitness_proxy_cleaned"
"GNM_001","included","NA","mean and variance","Gladalski M.; Banbura M.; Kalinski A.; Markowski M.; Skwarska J.; Wawrzyniak J.; Zielinski P.; Banbura J.","2020","Lodz_Poland",1,1,1,1,"Cyanistes caeruleus","Lavandula angustifolia, Achillea millefolium, Helichrysum italicum","grass",1,0,1,"PCH",123.1,"mean",2.3,"SE",17,115.2,"mean",2.4,"SE",16,"hemoglobin concentration","Physiology","include","NA","1",NA,"NA","NA","NA","NA","NA","NA","First paragraph ""field and experimental procedures"" for sample sizes and fig1. legend for mean and SE","NA","c","JMGS","I considered that the only data available providing evidence for testing one of our hypothesis (DH) or more especifically parental care hypothesis was the concentration of hemoglobin for which the primary data was provided.","SD","control_plant_species : grass (Poaceae spp.) and not blank ; comparision_type: 1 - non-aromatic control since they add grass (Poaceae spp.) to control nests; nest_reuse: n (authors say they clean nests before every breeding season); n_experiment and n_control: Authors use 3 nestling from each nest to take measurements and use repeated measures in a mixed model. The mean value comes from 17*3 and 16*3 individuals respectively for treatment and control group.","no","yes","yes",1,1,"hemoglobin_measure"
"GNM_001","included","NA","mean and variance","Gladalski M.; Banbura M.; Kalinski A.; Markowski M.; Skwarska J.; Wawrzyniak J.; Zielinski P.; Banbura J.","2020","Lodz_Poland",2,1,1,2,"Cyanistes caeruleus","Lavandula angustifolia, Achillea millefolium, Helichrysum italicum","grass",1,1,1,"both",8.77,"mean",1.68,"SD",17,8.25,"mean",1.88,"SD",16,"number of nestlings","Reproduction","include","We considered this a proxy of general fitness because we cannot separate the mechanistic hypothesis for it i.e. we cannot say why the number of nestlings would be different in groups with GNM, it could be that the female invests more into the eggs, nestlings. It could also be male provides more food or parental care because of the higher quality of females (honest signalling by females suggested in Blue Tits in Tomas et al 2013). But it could also be because of the protective effects or health benefits of GNM.","1",NA,"NA","NA","NA","NA","NA","NA","First paragraph ""Field and experimental procedures""","NA","c","JMGS","NA","SD","I am not sure if this should be used but the value is similar to nestling number/hatching success that we have extracted in other cases. Does not fit courtship hypothesis but the number of nestling could also be effected by parasitic load etc. We do not know when the estimate was taken so weather closer to hatching or fledgeling.","no","yes","yes",1,1,"number_of_nestling"
"GNM_001","included","NA","Authors provided","Gladalski M.; Banbura M.; Kalinski A.; Markowski M.; Skwarska J.; Wawrzyniak J.; Zielinski P.; Banbura J.","2020","Lodz_Poland",3,1,1,3,"Cyanistes caeruleus","Lavandula angustifolia, Achillea millefolium, Helichrysum italicum","grass",1,0,1,"PCH",235.75,"mean",44.58,"SD",17,252.27,"mean",57.35,"SD",16,"glucose concentration","Physiology","sensitivity-analysis","We will not include this in our main analysis and only do a sensitivity analysis for the flagged proxies. We do not consider glucose concentration to be a meaningful fitness proxy because 1. The blood samples of the birds were collected at random time of the day without any strict protocol for between sampling differences. Blood glucose levels could change very rapidly depending on the consumption of food and there could be great between individual variation in the population. Circadian rhythm could also influence the blood sugar levels. 2. Authors themselves call this a less robust proxy - ""The level of blood glucose is considered a reverse (lower concentration of glucose is related to higher body condition) and a less robust (more variable) indicator of body condition than haemoglobin but is also useful in studies of ecophysiology""","-1",NA,"NA","NA","NA","NA","NA","NA","Provided by authors","NA","c","JMGS","Missing primary data comparison between treatment and experimental nests for glucose data ***write to the  authors***","SD","NA","no","yes","yes",1,1,"glucose_measure"
"GNM_002","included","NA","ANOVA","Pires B. A.; Belo A. D. F.; Diamantino F.;  Rabaca J. E.; Merino S.","2020","Portuguese Air Force Base No. 6 - Montijo, Portugal, Tagus Estuary (38.4140.45â€™â€™ N, 9Â°02â€™43.55â€™â€™ W).",4,1,1,1,"Cyanistes caeruleus","Lavandula dentata L, Calamintha nepeta L, Dittrichia viscosa L","grass",1,1,1,"both",NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"Number of fledlings","Reproduction","SMDH only","We considered this a proxy of general fitness because we cannot separate the mechanistic hypothesis for it i.e. we cannot say why the number of fledgling was different between the groups. We do not know if this measure is support for CH or PCH and therefore will be included in general fitness proxy.","1",NA,"NA","0.24","0.63","negative","24 (experimental) +27 (control)","1","table 1","NA","c","JMGS","the sample sizes (24 exp) and (27 control) extracted by adding the values for different years in Fig. 1 could potentially be used to calculte the effect sizes from F stats? *** Worth writing to the authors to ask for primary data for each of these hypotheses. As females are the ones adding GNM I am assuming its not courship hypothesis (but doublecheck with other studies in the same species, whether the females who court the male instead)","SD","Authors also test for large brood and small brood effects on the 4 variable (cross design with treatment, do we then also include this? If so, how? treatment x brood size interaction values from ANOVA?","no","no","no",1,1,"number_of_fledgling"
"GNM_002","included","NA","ANOVA","Pires B. A.; Belo A. D. F.; Diamantino F.;  Rabaca J. E.; Merino S.","2020","Portuguese Air Force Base No. 6 - Montijo, Portugal, Tagus Estuary (38Â°41â€™40.45â€™â€™ N, 9Â°02â€™43.55â€™â€™ W).",5,1,1,2,"Cyanistes caeruleus","Lavandula dentata L, Calamintha nepeta L, Dittrichia viscosa L","grass",1,1,1,"both",NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"nestling survival rate","Reproduction","SMDH only","We considered this a proxy of general fitness because we cannot separate the mechanistic hypothesis for it i.e. we cannot say why the nestling survival rate was different between the groups. We do not know if this measure is support for CH or PCH and therefore will be included in general fitness proxy.","1",NA,"NA","0.31","0.57999999999999896","negative","24 (experimental) +27 (control)","1","table 1","NA","c","JMGS","the sample sizes (24 exp) and (27 control) extracted by adding the values for different years in Fig. 1 could potentially be used to calculte the effect sizes from F stats? *** Worth writing to the authors to ask for primary data for each of these hypotheses. As females are the ones adding GNM I am assuming its not courship hypothesis (but doublecheck with other studies in the same species, whether the females who court the male instead)","SD","NA","no","no","no",1,1,"survival_rate_nestling"
"GNM_002","included","NA","ANOVA","Pires B. A.; Belo A. D. F.; Diamantino F.;  Rabaca J. E.; Merino S.","2020","Portuguese Air Force Base No. 6 - Montijo, Portugal, Tagus Estuary (38Â°41â€™40.45â€™â€™ N, 9Â°02â€™43.55â€™â€™ W).",6,1,1,3,"Cyanistes caeruleus","Lavandula dentata L, Calamintha nepeta L, Dittrichia viscosa L","grass",1,1,1,"both",NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"Nestling weight","Morphology","SMDH only","We considered this a proxy of general fitness because we cannot separate the mechanistic hypothesis for it i.e. we cannot say why the nestling weight was different between the groups. We do not know if this measure is support for CH or PCH and therefore will be included in general fitness proxy.","1",NA,"NA","2E-3","0.97","negative","24 (experimental) +27 (control)","1","table 1","NA","c","JMGS","the sample sizes (24 exp) and (27 control) extracted by adding the values for different years in Fig. 1 could potentially be used to calculte the effect sizes from F stats? *** Worth writing to the authors to ask for primary data for each of these hypotheses. As females are the ones adding GNM I am assuming its not courship hypothesis (but doublecheck with other studies in the same species, whether the females who court the male instead)","SD","NA","no","no","no",1,1,"nestling_mass"
"GNM_002","included","NA","mean and variance","Pires B. A.; Belo A. D. F.; Diamantino F.;  Rabaca J. E.; Merino S.","2020","Portuguese Air Force Base No. 6 - Montijo, Portugal, Tagus Estuary (38Â°41â€™40.45â€™â€™ N, 9Â°02â€™43.55â€™â€™ W).",7,2,2,4,"Cyanistes caeruleus","Lavandula dentata L, Calamintha nepeta L, Dittrichia viscosa L","grass",1,1,1,"both",1.8359024,"mean",0.01990244,"SD",2,1.7449756,"mean",0.02458537,"SD",3,"Nestling tarsus length (large brood)","Morphology","include","We considered this a proxy of general fitness because we cannot separate the mechanistic hypothesis for it i.e. we cannot say why the nestling tarsus length was different between the groups. We do not know if this measure is support for CH or PCH and therefore will be included in general fitness proxy.","1",NA,"NA","NA","NA","NA","NA","NA","Fig 1","NA","c","SD","I have extracted the effect sizes from the figure instead of the ANOVA since they were presented for all years in both small and large brood size with mean and variance. I consider the years to be different experiment and large and small brood to be different group of individuals.","SD","NA","no","no","no",1,1,"nestling_tarsus_length"
"GNM_002","included","NA","mean and variance","Pires B. A.; Belo A. D. F.; Diamantino F.;  Rabaca J. E.; Merino S.","2020","Portuguese Air Force Base No. 6 - Montijo, Portugal, Tagus Estuary (38Â°41â€™40.45â€™â€™ N, 9Â°02â€™43.55â€™â€™ W).",8,3,2,4,"Cyanistes caeruleus","Lavandula dentata L, Calamintha nepeta L, Dittrichia viscosa L","grass",1,1,1,"both",1.8515122,"mean",0.01717073,"SD",6,1.8148293,"mean",0.01404878,"SD",4,"Nestling tarsus length (large brood)","Morphology","include","NA","1",NA,"NA","NA","NA","NA","NA","NA","Fig 1","NA","c","SD","I have extracted the effect sizes from the figure instead of the ANOVA since they were presented for all years in both small and large brood size with mean and variance. I consider the years to be different experiment and large and small brood to be different group of individuals.","SD","NA","no","no","no",1,1,"nestling_tarsus_length"
"GNM_002","included","NA","mean and variance","Pires B. A.; Belo A. D. F.; Diamantino F.;  Rabaca J. E.; Merino S.","2020","Portuguese Air Force Base No. 6 - Montijo, Portugal, Tagus Estuary (38Â°41â€™40.45â€™â€™ N, 9Â°02â€™43.55â€™â€™ W).",9,4,2,4,"Cyanistes caeruleus","Lavandula dentata L, Calamintha nepeta L, Dittrichia viscosa L","grass",1,1,1,"both",1.8300488,"mean",0.01326829,"SD",4,1.8226341,"mean",0.01717073,"SD",7,"Nestling tarsus length (large brood)","Morphology","include","NA","1",NA,"NA","NA","NA","NA","NA","NA","Fig 1","NA","c","SD","I have extracted the effect sizes from the figure instead of the ANOVA since they were presented for all years in both small and large brood size with mean and variance. I consider the years to be different experiment and large and small brood to be different group of individuals.","SD","NA","no","no","no",1,1,"nestling_tarsus_length"
"GNM_002","included","NA","mean and variance","Pires B. A.; Belo A. D. F.; Diamantino F.;  Rabaca J. E.; Merino S.","2020","Portuguese Air Force Base No. 6 - Montijo, Portugal, Tagus Estuary (38Â°41â€™40.45â€™â€™ N, 9Â°02â€™43.55â€™â€™ W).",10,5,3,4,"Cyanistes caeruleus","Lavandula dentata L, Calamintha nepeta L, Dittrichia viscosa L","grass",1,1,1,"both",1.8065548,"mean",0.01653784,"SD",4,1.8316795,"mean",0.02003623,"SD",3,"Nestling tarsus length (small brood)","Morphology","include","NA","1",NA,"NA","NA","NA","NA","NA","NA","Fig 1","NA","c","SD","I have extracted the effect sizes from the figure instead of the ANOVA since they were presented for all years in both small and large brood size with mean and variance. I consider the years to be different experiment and large and small brood to be different group of individuals.","SD","NA","no","no","no",1,1,"nestling_tarsus_length"
